,CD45,CD45RA,CD19,CD11b,CD4,CD8,CD34,CD20,CD33,CD123,CD38,CD90,CD3
Mature CD4+ T,1,-1,-1,NA,1,-1,NA,NA,-1,NA,-1,NA,1
Mature CD8+ T,1,-1,-1,NA,-1,1,NA,NA,-1,NA,-1,NA,1
Naive CD4+ T,1,1,-1,NA,1,-1,NA,NA,-1,NA,-1,NA,1
Naive CD8+ T,1,1,-1,NA,-1,1,NA,NA,-1,NA,-1,NA,1
CD11bhi Monocyte,1,NA,-1,1,-1,-1,-1,NA,1,NA,NA,NA,-1
CD11b- Monocyte,1,NA,-1,-1,-1,-1,-1,NA,1,NA,NA,NA,-1
Pre-B I,NA,NA,1,NA,-1,-1,1,-1,-1,NA,1,NA,-1
Pre-B II,NA,NA,1,NA,-1,-1,-1,-1,-1,NA,1,NA,-1
Immature B,NA,NA,1,NA,-1,-1,-1,-1,-1,NA,-1,NA,-1
Mature CD38lo B,NA,NA,1,NA,-1,-1,-1,1,-1,NA,-1,NA,-1
Mature CD38mid B,NA,NA,1,NA,-1,-1,-1,1,-1,NA,1,NA,-1
NK,1,1,-1,NA,-1,-1,NA,NA,-1,NA,1,NA,-1
Plasmacytoid DC,1,1,-1,NA,-1,-1,-1,NA,-1,1,1,NA,-1
CMP,NA,-1,-1,NA,-1,-1,1,NA,-1,-1,1,NA,-1
GMP,NA,1,-1,NA,-1,-1,1,NA,-1,-1,1,NA,-1
HSC,NA,-1,-1,NA,-1,-1,1,NA,-1,NA,-1,1,-1
MEP,NA,-1,-1,NA,-1,-1,1,NA,-1,1,1,NA,-1
MPP,NA,-1,-1,NA,-1,-1,1,NA,-1,NA,-1,-1,-1
Plasma cell,NA,NA,1,NA,-1,-1,NA,-1,-1,NA,1,NA,-1
