Population,level,CD19,CD20,CD3,CD4,CD8,TCRgd,CD16,CD56,CD25,CD127,CD45RA,CCR7,HLA.DR,CD14,CD11c,CD123,CD27,CD69,CD40L
TCD4 PeaReactive,T CD4 cells,-1,-1,1,1,-1,-1,,-1,-1,1,,,-1,-1,-1,-1,,1,1
TCD4 EM CD27-,T CD4 cells,-1,-1,1,1,-1,-1,,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TCD4 EM CD27+,T CD4 cells,-1,-1,1,1,-1,-1,,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
TCD4 Naive,T CD4 cells,-1,-1,1,1,-1,-1,,-1,-1,1,1,1,-1,-1,-1,-1,,-1,-1
TCD4 CM,T CD4 cells,-1,-1,1,1,-1,-1,,-1,-1,1,-1,1,-1,-1,-1,-1,,-1,-1
TCD8 PeaReactive,T CD8 cells,-1,-1,1,-1,1,-1,,-1,,,,,-1,-1,-1,-1,,1,
TCD8 EM,T CD8 cells,-1,-1,1,-1,1,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,
TCD8 CM,T CD8 cells,-1,-1,1,-1,1,-1,,-1,,,-1,1,-1,-1,-1,-1,,-1,
TCD8 Naive,T CD8 cells,-1,-1,1,-1,1,-1,,-1,,,1,1,-1,-1,-1,-1,1,-1,
TCD8 TEM,T CD8 cells,-1,-1,1,-1,1,-1,,-1,,,0,1,-1,-1,-1,-1,-1,-1,
Treg Mem,Tregs,-1,-1,1,1,-1,-1,,-1,1,-1,-1,,-1,-1,-1,-1,,-1,-1
Treg Naive,Tregs,-1,-1,1,1,-1,-1,,-1,1,-1,1,,-1,-1,-1,-1,,-1,-1
gdTCR Mem,gdTCR,-1,-1,1,-1,-1,1,,-1,-1,,-1,,-1,-1,-1,-1,,-1,
gdTCR Naive,gdTCR,-1,-1,1,-1,-1,1,,-1,-1,,1,,-1,-1,-1,-1,,-1,
NKT,NKT,-1,,1,,,-1,-1,1,,,,,-1,-1,-1,-1,,,
NK,NK,-1,,-1,,-1,-1,,1,,,,,-1,-1,,,,,
B Mem,B cells,1,1,-1,-1,-1,-1,,-1,,,,,1,-1,,,1,,
B Naive,B cells,1,1,-1,-1,-1,-1,,-1,,,,,1,-1,,,-1,,
cMonocytes,Monocytes,-1,,-1,,-1,-1,NA,-1,,,,,1,1,1,1,,,
cMonocytes CD14mid,Monocytes,-1,,-1,,-1,-1,-1,-1,,,,,1,-0.5,1,1,,,
iMonocytes,Monocytes,-1,,-1,,-1,-1,1,-1,,,,,1,-0.5,1,1,,,
ncMonocytes,Monocytes,-1,,-1,,-1,-1,1,-1,,,,,1,-1,1,1,,,
pDCs,DCs,-1,,-1,,-1,-1,-1,-1,,,,,1,-1,-1,1,,,
mDC1,DCs,-1,,-1,,-1,-1,-1,-1,,,,,1,-1,1,1,,,
mDC2,DCs,-1,,-1,,-1,-1,-1,-1,,,,,1,-1,0.5,-1,,,
DC others,DCs,-1,,-1,,-1,-1,-1,-1,,,,,1,-1,-1,NA,,,
